,Date,Sentiment
0,2022-03-20,NEG
1,2021-11-07,NEU
2,2022-02-07,NEU
3,2022-02-19,NEU
4,2021-11-19,NEG
5,2021-12-10,NEU
6,2021-11-22,NEU
7,2022-04-03,NEG
8,2022-02-22,NEG
9,2022-01-10,NEG
10,2021-11-08,NEU
11,2022-02-08,NEG
12,2022-02-16,NEU
13,2022-01-24,NEG
14,2021-10-31,NEG
15,2021-12-24,NEU
16,2021-11-16,POS
17,2022-01-01,NEG
18,2022-04-12,NEG
19,2021-12-01,NEU
20,2022-03-14,NEU
21,2022-04-21,NEG
22,2022-03-27,NEG
23,2022-01-09,NEU
24,2021-12-09,NEU
25,2022-04-04,NEG
26,2021-11-25,NEG
27,2021-12-17,NEG
28,2022-03-02,NEG
29,2022-01-17,NEU
30,2022-02-25,NEU
31,2022-03-28,NEG
32,2022-01-23,NEU
33,2022-02-11,NEG
34,2021-11-11,POS
35,2021-12-23,NEU
36,2022-01-06,POS
37,2022-03-13,NEG
38,2021-12-06,NEG
39,2022-04-15,NEG
40,2021-12-18,NEG
41,2022-01-18,NEG
42,2022-03-15,NEG
43,2022-04-13,NEG
44,2021-11-09,NEG
45,2022-02-09,NEG
46,2022-02-17,NEG
47,2022-01-25,NEU
48,2022-03-30,NEG
49,2021-12-25,NEU
50,2021-11-17,NEG
51,2021-12-11,POS
52,2022-04-02,NEG
53,2021-11-23,NEU
54,2022-02-23,NEU
55,2022-01-11,NEG
56,2021-11-06,NEG
57,2022-03-21,NEG
58,2022-02-06,NEU
59,2022-02-18,NEU
60,2021-11-18,NEG
61,2022-01-07,NEU
62,2021-12-07,NEG
63,2022-04-14,NEG
64,2022-03-12,NEG
65,2021-12-19,NEG
66,2022-01-19,NEU
67,2022-03-29,NEU
68,2022-01-22,NEU
69,2022-02-10,NEU
70,2021-11-10,POS
71,2021-12-22,NEG
72,2022-01-08,POS
73,2021-12-08,NEU
74,2022-03-03,NEG
75,2021-11-24,NEU
76,2022-04-05,NEG
77,2021-12-16,NEG
78,2022-01-16,NEU
79,2022-02-24,NEU
80,2022-03-26,NEG
81,2022-04-20,NEG
82,2022-02-01,NEG
83,2022-01-04,NEU
84,2022-03-11,NEG
85,2022-04-17,NEG
86,2021-12-04,NEU
87,2021-11-28,POS
88,2022-04-09,NEG
89,2022-02-28,NEG
90,2022-02-13,NEG
91,2022-01-21,NEG
92,2021-12-21,NEG
93,2021-11-13,NEU
94,2022-04-18,NEG
95,2021-12-15,NEU
96,2022-04-06,NEG
97,2021-11-27,NEG
98,2022-02-27,NEU
99,2022-01-15,NEG
100,2022-04-23,NEG
101,2021-11-02,POS
102,2021-12-30,POS
103,2022-03-25,NEU
104,2022-01-30,NEG
105,2022-02-02,NEG
106,2022-01-03,POS
107,2021-12-03,NEU
108,2022-04-10,NEG
109,2022-03-16,NEG
110,2022-01-26,NEU
111,2022-02-14,NEG
112,2021-11-14,NEU
113,2021-12-26,NEU
114,2022-03-19,NEG
115,2021-11-20,NEG
116,2022-04-01,NEG
117,2021-12-12,NEU
118,2022-01-12,NEG
119,2022-02-20,NEU
120,2022-03-22,NEG
121,2021-11-05,NEU
122,2022-02-05,NEU
123,2022-01-29,NEG
124,2021-12-29,NEG
125,2022-03-24,NEG
126,2021-11-03,NEU
127,2022-04-22,NEG
128,2021-12-31,POS
129,2022-01-31,NEG
130,2022-02-03,NEG
131,2022-04-19,NEG
132,2022-03-01,NEG
133,2021-12-14,NEG
134,2021-11-26,NEG
135,2022-04-07,NEG
136,2022-02-26,NEG
137,2022-01-14,NEU
138,2022-02-12,NEG
139,2022-01-20,NEU
140,2021-12-20,NEU
141,2021-11-12,POS
142,2022-01-05,NEU
143,2022-04-16,NEG
144,2021-12-05,NEU
145,2022-04-08,NEG
146,2021-11-29,NEG
147,2021-11-04,NEG
148,2022-03-23,NEG
149,2022-02-04,NEU
150,2022-01-28,NEG
151,2021-12-28,POS
152,2022-03-18,NEG
153,2021-11-21,POS
154,2021-12-13,NEG
155,2022-01-13,NEU
156,2022-02-21,NEU
157,2022-01-27,NEU
158,2022-02-15,NEU
159,2021-11-15,NEU
160,2021-12-27,NEG
161,2022-01-02,NEG
162,2022-03-17,NEG
163,2021-12-02,POS
164,2022-04-11,NEG
165,2021-11-30,POS
