,id,text,created_at
0,1516679627665817602,RT @KOmukungu: A half litre of cooking oil costs 6000shs now. NUP supporters and Bobi wine and Russia are surely to blame.,2022-04-20
1,1516679615271641092,"@BorisJohnson if the Indian govt continue to take advantage of Russia's invasion of Ukraine by buying Russian oil and fuelling Putin's war machine, tell them they'll not receive any foreign aid at all from British taxpayers.",2022-04-20
2,1516679607155449860,RT @emptywheel: Its goal--and this shows up in Mike Flynn's transcripts with Sergei Kislyak--was to turn the US into the same kind of corru…,2022-04-20
3,1516679542865342467,"RT @CrypticFae89: @IAPonomarenko World leaders never should have allowed it to get to this point. 

The minute Russia invaded they should h…",2022-04-20
4,1516679482765152258,RT @EuroBriefing: Europe will be the biggest casualty of deglobalisation. We are paying a heavy price for having made ourselves dependent o…,2022-04-20
5,1516679413902966784,"RT @business: - Mariupol on the brink
- Biden says he’d send more artillery to Ukraine 
- Corn near decade high

Latest updates: https://t.…",2022-04-20
6,1516679387340587010,In 10 or 15 years universities and schools will study the events in Ukraine and look at the options available and will simply ask why didn’t the oil and gas lines flowing from Russia through Ukraine to Europe get cut off to stop the war ? https://t.co/6SXFmxpIuJ,2022-04-20
7,1516679384995926016,"RT @marcoRecorder: The value of EU oil &amp; gas imports from Russia 🇷🇺 is * 4 times * that of its aid to Ukraine 🇺🇦

@Bruegel_org https://t.co…",2022-04-20
8,1516679303836188680,RT @EuroBriefing: Europe will be the biggest casualty of deglobalisation. We are paying a heavy price for having made ourselves dependent o…,2022-04-20
9,1516679265802240001,"This point has been made before. Yet #r4today refuses to switch from its point China is the global bad boy on the environment. It's nonsense: 

#China imports 13% less crude oil from Saudi in March, 14% less from Russia -customs By Reuters

https://t.co/ZuHtmc3U0Q",2022-04-20
10,1516679253949042690,"RT @BrianTBrown2: From a smart Ukrainian I know: ""Germany could end the war in Ukraine in one day if it stopped buying Russian oil and gas.…",2022-04-20
11,1516679189595889667,"@RLyon82350186 @jhan2qt @ksksuksusha @BerlinrockzB @noclador @OlafScholz Yes, our vice chancellor is working hard for us to get rid of our crazy dependence for Russian coal, oil and gas. Not easy as we get f.e. 50% of gas from Russia.

Most people want things to happen a lot quicker.  There is no friendship with Russia.",2022-04-20
12,1516679170687913984,@naveenphys @bolivia73269891 Other thing. Only 10% of the resources income of Russia is gas. Oil is the big thing. Even because Europe does not only give money to Russia for gas. The Ukraine gets a share of this by Russia. Complicated world. I would understand a total oil embargo much more. This hurts Russia,2022-04-20
13,1516679165927469061,"RT @BrianTBrown2: From a smart Ukrainian I know: ""Germany could end the war in Ukraine in one day if it stopped buying Russian oil and gas.…",2022-04-20
14,1516679110994632712,"RT @anders_aslund: 5. Therefore, Germany is highly guilty of Putin's war on Ukraine &amp; it must therefore do everything it can to stop it: St…",2022-04-20
15,1516679087451901955,RT @business: Japan’s Toshiba says it has halted new orders from Russia and new investment in the country because of the Kremlin’s invasion…,2022-04-20
16,1516679038382886912,RT @EuroBriefing: Europe will be the biggest casualty of deglobalisation. We are paying a heavy price for having made ourselves dependent o…,2022-04-20
17,1516679019470667785,"RT @BrianTBrown2: From a smart Ukrainian I know: ""Germany could end the war in Ukraine in one day if it stopped buying Russian oil and gas.…",2022-04-20
18,1516679000676044804,RT @wiola81036228: @AsamiTerajima Hungary is paying for this war. Hungary pays Russia (as does the rest of Europe which buys gas and oil fr…,2022-04-20
19,1516678906027335680,"RT @kenklippenstein: Amid soaring gas prices, Jared Kushner flaunted his past role in influencing Saudi oil production, per pitch for his n…",2022-04-20
20,1516678887408812032,ロシア・ロスネフチ、アジア向け原油販売で異例の入札＝関係筋 https://t.co/NZrycE8cef https://t.co/SPLYXpQRie,2022-04-20
21,1516678841120567305,"Some embarrassment in Norway after imports from Russia rise 90% in March relative to last year, fingers point to aluminium processing and oil refining https://t.co/cfn2nmsvG2",2022-04-20
22,1516678714557632514,"@Balkstar50 @kasham81 @stygianwing @lesiavasylenko Most shudra &amp; dalit are clubbed together under Scheduled caste
However their poor condition is primarily due to socialist past

Just like Ukraine has very poor economy precisely becuz of socialist past
Russia has slightly large economy only becuz of oil, gas &amp; other commodities",2022-04-20
23,1516678710598025218,"RT @anders_aslund: 5. Therefore, Germany is highly guilty of Putin's war on Ukraine &amp; it must therefore do everything it can to stop it: St…",2022-04-20
24,1516678702523949065,"RT @meduza_en: Even while condemning Russia's actions, German leaders have been deepening their country's dependence on Russian oil for yea…",2022-04-20
25,1516678673256042501,"RT @anders_aslund: 5. Therefore, Germany is highly guilty of Putin's war on Ukraine &amp; it must therefore do everything it can to stop it: St…",2022-04-20
26,1516678627869478916,"RT @BrianTBrown2: From a smart Ukrainian I know: ""Germany could end the war in Ukraine in one day if it stopped buying Russian oil and gas.…",2022-04-20
27,1516678623473942533,RT @RisksAssociated: Greece seizes Russian oil tanker Pegas https://t.co/GIoYmynyoa #Ukraine #Russia #News,2022-04-20
28,1516678542234468355,"@Christian_0512 @noclador @CurwaCollegen @OlafScholz Do you think it’s fair that 13 countries sends weapons to help Ukraine and Germany (the ”european leader”) is not and aids russia with $1 billion dollars a day to support their invation due to oil and gas purchases? 
Time to wake up. 
Germany will be boycotted soon.",2022-04-20
29,1516678517395795970,RT @EuroBriefing: Europe will be the biggest casualty of deglobalisation. We are paying a heavy price for having made ourselves dependent o…,2022-04-20
30,1516678505408438274,"RT @BrianTBrown2: From a smart Ukrainian I know: ""Germany could end the war in Ukraine in one day if it stopped buying Russian oil and gas.…",2022-04-20
31,1516678361350737927,"RT @BrianTBrown2: From a smart Ukrainian I know: ""Germany could end the war in Ukraine in one day if it stopped buying Russian oil and gas.…",2022-04-20
32,1516678246443925508,RT @EuroBriefing: Europe will be the biggest casualty of deglobalisation. We are paying a heavy price for having made ourselves dependent o…,2022-04-20
33,1516678218425974786,"115/ch Compare the statements of the Western/Europeanists Experts wrt #China’s purchase of #Iranian oil (🙈🙉🙊), with the outrage against #Russia and any low income country which purchases discounted Russian oil! https://t.co/5yghln4hyo",2022-04-20
34,1516678206295793665,RT @AnastassiaFedyk: Economists for Ukraine excited to contribute to the new sanctions roadmap. Priorities: 1) Oil &amp; Gas. 2) Transport &amp; sh…,2022-04-20
35,1516678186591039491,"RT @MoscowTimes: Before the war, Russia had exported an average of 5 million barrels of crude oil and 2.8 million barrels of petroleum prod…",2022-04-20
36,1516678170866597893,"RT @meduza_en: Even while condemning Russia's actions, German leaders have been deepening their country's dependence on Russian oil for yea…",2022-04-20
37,1516678158476783617,"RT @MoscowTimes: Before the war, Russia had exported an average of 5 million barrels of crude oil and 2.8 million barrels of petroleum prod…",2022-04-20
38,1516678088142331904,"And worse still @Mike_Fabricant #EU countries were still ARMING #Russia until recently

AND #Germany still funding #PutinsWarCrimes daily through $bns oil &amp; gas purchases

@LibDems @campbellclaret @TheSun @GBNEWS @GMB @adilray @GaryLineker @piersmorgan @guardian @LBC @afneil https://t.co/Q1t7dgSJJe",2022-04-20
39,1516678057897054209,"The supply of modern lethal weapons by Britain to Ukraine is being condemned all over the world.  This is a clear violation of uno's rules.  Instead of ending the Russia-Ukraine war, it is a work of adding oil to the fire. https://t.co/5ul04snSYF",2022-04-20
40,1516678033708621826,"@McFaul @ianbremmer Why is everyone focused only on energy?
What about the other 50% of Russian exports?

Eg UK is paying 17b a year for Russian gold alone.
What, Russia can only use oil &amp; gas money to finance their war? 🤔

https://t.co/HQf1h5MCdM",2022-04-20
41,1516678029774360578,"@krugermacro Gas in Donbas
Oil in Crimea 
EU Energy from Ukraine v Russia
Sectarianism against ethnic Russians &amp; then there’s the oligarchs and their private battles. 

https://t.co/5UGZYdUZeP https://t.co/NaC98La8mD",2022-04-20
